1	Abl Christian	0.844	0.796	0.777	0.764	0.894	0.941
2	Memphis	0.850	0.938	0.941	0.778	0.910	0.860
3	Houston	0.858	0.892	0.844	0.810	0.911	0.903
4	Loyola-Chi	0.864	0.972	1.004	0.834	0.884	0.932
5	Jackson St	0.868	0.924	1.038	0.731	0.936	0.949
6	UAB	0.872	0.975	0.967	0.823	0.936	0.965
7	Utah State	0.882	0.918	0.952	0.847	0.906	0.921
8	St Peters	0.884	0.935	0.937	0.819	0.935	0.906
9	Prairie View	0.891	0.941	1.085	0.821	0.936	0.923
10	LA Tech	0.895	0.883	0.845	0.887	0.905	0.927
11	Gonzaga	0.896	0.858	0.742	0.856	0.928	0.916
12	VCU	0.900	0.937	1.057	0.864	0.941	0.919
13	Tennessee	0.901	0.963	1.049	0.876	0.937	0.938
14	San Diego St	0.901	1.018	1.253	0.885	0.919	0.887
15	Alabama	0.902	0.923	0.790	0.884	0.914	1.000
16	Winthrop	0.904	0.918	1.103	0.884	0.923	0.968
17	UC Irvine	0.908	0.952	1.218	0.826	0.951	0.938
18	Texas Tech	0.911	1.036	0.776	0.830	1.006	0.897
19	North Texas	0.912	0.867	1.009	0.858	0.946	0.967
20	Wright State	0.912	1.058	1.050	0.923	0.900	0.942
21	Baylor	0.913	0.921	0.701	0.879	0.940	0.877
22	Mississippi	0.914	0.986	0.970	0.858	0.969	0.965
23	St Bonavent	0.914	0.957	1.118	0.878	0.941	0.986
24	Arkansas	0.915	0.899	0.856	0.850	1.004	0.942
25	Vermont	0.920	1.043	1.141	0.932	0.902	0.886
26	Marist	0.920	0.874	0.955	0.939	0.908	0.962
27	Grd Canyon	0.921	0.955	1.317	0.905	0.936	1.051
28	UC Riverside	0.922	0.947	1.131	0.948	0.905	0.947
29	USC	0.925	1.030	0.954	0.894	0.958	0.914
30	Iona	0.926	0.915	0.976	0.969	0.902	1.000
31	UCSB	0.927	0.928	0.997	0.851	0.967	0.998
32	Alab A&M	0.927	0.976	1.109	0.855	0.994	1.005
33	Colorado St	0.928	0.976	1.031	0.885	0.958	1.003
34	Siena	0.928	0.934	0.833	0.910	0.945	0.978
35	TX Southern	0.931	0.935	1.125	0.871	0.967	1.002
36	Clemson	0.932	0.997	0.919	0.902	0.961	0.935
37	Illinois	0.932	0.938	0.722	0.878	0.974	0.947
38	Maryland BC	0.932	1.040	1.152	0.991	0.885	1.002
39	Saint Louis	0.933	1.028	0.999	0.887	1.004	0.919
40	Quinnipiac	0.933	0.909	1.003	0.900	0.981	1.009
41	Colorado	0.934	1.069	0.973	0.887	0.964	0.918
42	Wash State	0.934	0.986	0.871	0.875	1.023	0.952
43	NC-Grnsboro	0.935	0.937	0.937	0.891	0.955	0.910
44	Coastal Car	0.935	0.892	0.802	0.930	0.940	1.023
45	Hartford	0.936	0.925	1.007	0.908	0.958	0.949
46	St Marys	0.936	0.997	1.089	0.883	0.988	0.989
47	Southern	0.937	0.961	0.956	0.852	0.985	0.966
48	Colgate	0.937	1.034	1.070	0.946	0.927	0.977
49	Portland St	0.939	1.059	1.028	0.942	0.936	1.036
50	Kansas	0.939	0.982	1.097	0.891	0.986	0.875
51	Morehead St	0.940	1.073	1.269	0.885	0.974	1.010
52	Manhattan	0.940	0.974	0.841	0.959	0.922	0.935
53	S Methodist	0.940	0.974	1.205	0.898	0.979	0.998
54	Texas State	0.940	0.911	1.028	0.939	0.941	0.943
55	Michigan	0.941	1.001	0.905	0.898	0.997	0.954
56	Connecticut	0.942	0.913	1.074	0.956	0.931	0.917
57	Florida A&M	0.944	0.949	0.974	0.813	0.987	0.992
58	Mt St Marys	0.945	0.942	0.971	0.899	0.973	1.003
59	Morgan St	0.946	0.883	0.941	0.953	0.942	0.978
60	Grambling St	0.947	0.995	1.108	0.973	0.930	0.973
61	Wisconsin	0.947	0.994	0.909	0.909	0.991	0.945
62	Liberty	0.947	1.015	0.926	0.882	0.984	0.883
63	Belmont	0.948	1.038	1.279	0.891	0.989	0.929
64	Boise State	0.948	1.130	1.191	0.903	0.980	0.972
65	Ste F Austin	0.949	0.853	0.775	0.933	0.961	0.895
66	Texas	0.949	0.968	0.791	0.963	0.935	0.932
67	TX-Pan Am	0.949	1.027	1.113	0.850	1.035	1.010
68	N Carolina	0.951	1.055	1.246	0.914	0.974	0.997
69	Oklahoma St	0.951	0.981	0.806	0.937	0.962	0.947
70	Creighton	0.951	0.969	0.981	0.945	0.958	0.983
71	W Kentucky	0.952	0.951	1.058	0.924	0.976	0.999
72	BYU	0.952	1.080	1.195	0.928	0.974	0.961
73	Stony Brook	0.953	0.851	0.904	0.922	0.973	0.927
74	Merrimack	0.953	0.966	0.946	0.978	0.927	0.932
75	Norfolk St	0.954	0.977	1.323	0.972	0.943	0.927
76	VA Tech	0.955	0.940	1.043	0.909	1.007	0.964
77	Buffalo	0.955	1.048	1.059	0.934	0.970	0.986
78	Miss State	0.955	1.071	0.918	0.918	0.992	0.987
79	Idaho State	0.956	1.006	1.009	0.877	0.992	1.079
80	Monmouth	0.956	0.970	1.106	0.910	0.996	0.955
81	Tulane	0.956	1.114	1.276	0.941	0.974	0.993
82	E Kentucky	0.957	0.994	0.949	0.951	0.960	1.004
83	Drake	0.957	1.077	1.227	0.911	0.995	0.988
84	LIU	0.959	0.995	0.898	0.936	0.984	1.012
85	Florida St	0.960	0.944	0.790	0.937	0.991	0.915
86	Navy	0.961	0.976	1.202	0.960	0.961	0.988
87	Stanford	0.961	1.140	1.145	1.004	0.941	0.886
88	Tulsa	0.962	1.038	1.088	0.931	0.989	0.914
89	Duquesne	0.962	0.970	1.068	0.896	1.003	0.950
90	Geo Mason	0.963	1.008	1.370	0.857	1.059	0.976
91	Nicholls St	0.964	0.999	1.094	0.920	0.986	0.956
92	E Carolina	0.964	1.036	1.062	0.969	0.953	0.999
93	Bryant	0.964	0.926	1.029	0.910	1.012	0.962
94	Wichita St	0.964	0.894	0.814	0.962	0.965	0.875
95	Alabama St	0.964	1.069	1.155	0.899	1.029	0.992
96	Fla Gulf Cst	0.965	1.012	1.198	0.935	1.003	0.974
97	Murray St	0.965	1.096	0.950	0.926	0.998	0.926
98	Rutgers	0.965	0.960	0.858	0.942	0.991	0.905
99	Florida	0.965	1.007	0.974	0.918	0.993	0.965
100	Elon	0.966	0.947	1.024	0.936	0.978	1.059
101	U Mass	0.968	1.075	1.188	0.966	0.970	1.001
102	S Mississippi	0.969	0.933	0.868	0.945	0.991	1.032
103	Marshall	0.970	0.969	1.025	0.962	0.980	0.960
