1	Gonzaga	1.206	1.205	1.323	1.215	1.198	1.180
2	Baylor	1.165	1.014	1.007	1.214	1.126	1.037
3	Iowa	1.161	1.060	1.317	1.214	1.098	1.079
4	Colgate	1.147	1.150	0.856	1.198	1.082	1.078
5	Houston	1.130	1.232	1.311	1.151	1.107	1.051
6	Belmont	1.115	1.062	1.056	1.098	1.127	1.072
7	Toledo	1.113	1.051	0.984	1.151	1.084	1.040
8	Wright State	1.109	1.049	1.028	1.093	1.128	1.056
9	Villanova	1.107	1.003	1.103	1.155	1.074	1.051
10	Illinois	1.105	1.132	1.150	1.102	1.108	1.026
11	LSU	1.104	1.085	1.118	1.122	1.087	1.104
12	Drake	1.103	0.942	0.954	1.172	1.046	0.985
13	Liberty	1.102	1.054	0.806	1.215	1.040	1.083
14	Ohio State	1.102	1.036	0.911	1.109	1.096	1.054
15	Michigan	1.100	1.141	1.125	1.105	1.094	1.049
16	Detroit	1.097	1.241	1.121	1.102	1.089	0.970
17	Ohio	1.097	1.093	0.997	1.126	1.074	1.002
18	Weber State	1.095	0.979	1.006	1.159	1.053	0.949
19	Virginia	1.094	1.086	0.932	1.110	1.081	0.916
20	S Dakota St	1.093	1.216	1.146	1.123	1.076	1.082
21	S Utah	1.091	1.094	0.952	1.120	1.067	0.975
22	Furman	1.091	1.115	1.149	1.137	1.058	1.063
23	Bellarmine	1.090	1.162	1.071	1.079	1.099	--
24	Loyola-Chi	1.088	1.179	1.188	1.121	1.066	1.009
25	Davidson	1.084	1.088	1.001	1.098	1.072	1.064
26	Colorado	1.083	1.184	1.280	1.138	1.047	1.013
27	Florida St	1.080	0.981	0.937	1.142	0.999	1.049
28	Oregon	1.078	1.170	0.984	1.067	1.089	1.093
29	E Washingtn	1.077	1.053	1.097	1.096	1.067	1.029
30	UCLA	1.071	1.134	1.195	1.111	1.043	1.016
31	UCSB	1.071	1.087	0.981	1.078	1.067	1.050
32	Creighton	1.069	0.862	0.997	1.150	0.992	1.090
33	Saint Louis	1.069	0.981	0.918	1.134	0.965	1.008
34	Arkansas	1.069	0.967	1.070	1.095	1.033	1.026
35	Arizona	1.069	1.053	1.066	1.065	1.074	1.058
36	Marshall	1.068	1.030	0.968	1.068	1.068	0.983
37	Boise State	1.067	1.087	1.205	1.099	1.045	1.030
38	San Diego St	1.067	1.027	0.996	1.060	1.074	1.101
39	Duke	1.067	1.069	1.056	1.074	1.057	1.090
40	USC	1.066	1.127	1.227	1.099	1.032	0.973
41	W Virginia	1.065	1.072	1.269	1.077	1.054	0.991
42	Winthrop	1.064	1.105	0.952	1.066	1.063	1.072
43	BYU	1.062	1.008	1.015	1.087	1.040	1.108
44	Wyoming	1.061	1.232	1.089	1.055	1.067	0.894
45	Notre Dame	1.061	1.019	0.813	1.064	1.060	1.048
46	GA Tech	1.061	1.046	1.004	1.078	1.039	0.937
47	Buffalo	1.060	1.003	1.031	1.062	1.059	1.009
